order_id;operator_id;pay_order_id;created;delivery_date;cost;client_id
1;1;1;2025-01-15 09:15:00;2025-01-20 14:00:00;12500;1
2;1;2;2025-01-16 11:30:00;2025-01-22 10:30:00;8900;1
3;1;3;2025-01-17 14:45:00;2025-01-25 16:00:00;21500;2
4;1;4;2025-01-18 08:20:00;2025-01-21 12:15:00;6700;3
5;1;5;2025-01-19 13:10:00;2025-01-27 09:45:00;15400;4
6;1;6;2025-01-20 16:35:00;2025-01-23 15:30:00;9800;4
7;1;7;2025-01-21 10:50:00;2025-01-28 11:20:00;23600;5
8;1;8;2025-01-22 12:25:00;2025-01-24 17:10:00;11200;6
9;1;9;2025-01-23 15:05:00;2025-01-29 13:40:00;18900;10
10;1;10;2025-01-24 09:40:00;2025-01-26 10:25:00;7500;8
11;1;11;2025-02-10 10:00:00;2025-02-18 14:00:00;14200;2
12;2;12;2025-02-20 11:00:00;2025-02-27 10:00:00;9500;5
13;1;13;2025-03-05 09:00:00;2025-03-12 14:00:00;18700;3
14;2;14;2025-03-18 13:00:00;2025-03-25 11:00:00;11300;7
15;10;15;2025-04-02 10:30:00;2025-04-10 14:00:00;22100;1
16;1;16;2025-04-15 14:00:00;2025-04-22 09:00:00;8600;6
17;2;17;2025-05-07 11:00:00;2025-05-15 14:00:00;16800;9
18;1;18;2025-05-20 09:30:00;2025-05-28 11:00:00;13200;4
19;10;19;2025-06-03 10:00:00;2025-06-11 14:00:00;19500;2
20;2;20;2025-06-17 14:00:00;2025-06-25 10:00:00;7800;8
21;1;21;2025-07-08 09:00:00;2025-07-16 14:00:00;25300;5
22;2;22;2025-07-22 11:30:00;2025-07-30 09:00:00;10900;10
23;1;23;2025-08-05 10:00:00;2025-08-13 14:00:00;31200;1
24;10;24;2025-08-19 13:00:00;2025-08-27 11:00:00;14700;3
25;2;25;2025-09-02 09:30:00;2025-09-10 14:00:00;20100;7
26;1;26;2025-09-16 11:00:00;2025-09-24 10:00:00;9300;6
27;2;27;2025-10-01 10:00:00;2025-10-09 14:00:00;17600;4
28;1;28;2025-10-14 14:00:00;2025-10-22 11:00:00;12400;9
29;10;29;2025-11-03 09:00:00;2025-11-11 14:00:00;28900;2
30;2;30;2025-11-18 11:30:00;2025-11-26 10:00:00;8100;8
31;1;31;2025-12-02 10:00:00;2025-12-10 14:00:00;22700;5
32;2;32;2025-12-16 13:00:00;2025-12-24 11:00:00;15500;1
33;1;33;2026-01-07 09:30:00;2026-01-15 14:00:00;19800;3
34;10;34;2026-01-20 11:00:00;2026-01-28 10:00:00;11600;7
35;2;35;2026-02-03 10:00:00;2026-02-11 14:00:00;24300;6
36;1;36;2026-02-17 14:00:00;2026-02-25 11:00:00;13900;10
37;2;37;2026-03-04 09:00:00;2026-03-12 14:00:00;18200;4
38;1;38;2026-03-18 11:30:00;2026-03-26 10:00:00;9700;9
39;10;39;2026-04-01 10:00:00;2026-04-09 14:00:00;21400;2
40;2;40;2026-04-10 13:00:00;2026-04-18 11:00:00;16300;5
