item_id;order_id;article;dest_id;count;delivery_date
1;1;A001;1;5;2025-01-20 14:00:00
2;1;A002;1;20;2025-01-20 14:00:00
3;1;B001;1;10;2025-01-20 14:00:00
4;2;A003;2;15;2025-01-22 10:30:00
5;2;A017;2;8;2025-01-22 10:30:00
6;2;B002;2;25;2025-01-22 10:30:00
7;3;A008;3;12;2025-01-25 16:00:00
8;3;A012;3;6;2025-01-25 16:00:00
9;3;B003;3;18;2025-01-25 16:00:00
10;3;B005;3;4;2025-01-25 16:00:00
11;4;A004;4;30;2025-01-21 12:15:00
12;4;A009;4;10;2025-01-21 12:15:00
13;5;A010;5;25;2025-01-27 09:45:00
14;5;B006;5;40;2025-01-27 09:45:00
15;6;A015;6;12;2025-01-23 15:30:00
16;6;A018;6;20;2025-01-23 15:30:00
17;7;A005;7;50;2025-01-28 11:20:00
18;7;A006;7;100;2025-01-28 11:20:00
19;7;B007;7;15;2025-01-28 11:20:00
20;8;A011;8;35;2025-01-24 17:10:00
21;9;A013;9;28;2025-01-29 13:40:00
22;9;A014;9;16;2025-01-29 13:40:00
23;9;B008;9;5;2025-01-29 13:40:00
24;10;A007;10;22;2025-01-26 10:25:00
25;10;A016;10;30;2025-01-26 10:25:00
26;1;A019;5;8;2025-01-20 14:00:00
27;4;B009;3;12;2025-01-21 12:15:00
28;7;A020;8;4;2025-01-28 11:20:00
29;2;B030;10;15;2025-01-22 10:30:00
30;6;B004;7;20;2025-01-23 15:30:00
31;11;A001;2;10;2025-02-18 14:00:00
32;11;B001;3;15;2025-02-18 14:00:00
33;11;A010;4;8;2025-02-18 14:00:00
34;12;A005;5;20;2025-02-27 10:00:00
35;12;B003;6;12;2025-02-27 10:00:00
36;13;A008;1;18;2025-03-12 14:00:00
37;13;B005;3;6;2025-03-12 14:00:00
38;13;A015;7;25;2025-03-12 14:00:00
39;14;A002;4;30;2025-03-25 11:00:00
40;14;A011;8;14;2025-03-25 11:00:00
41;15;A004;2;50;2025-04-10 14:00:00
42;15;B007;5;10;2025-04-10 14:00:00
43;15;A017;9;35;2025-04-10 14:00:00
44;16;A006;6;40;2025-04-22 09:00:00
45;16;B002;10;22;2025-04-22 09:00:00
46;17;A013;1;28;2025-05-15 14:00:00
47;17;A018;2;16;2025-05-15 14:00:00
48;17;B008;4;5;2025-05-15 14:00:00
49;18;A003;7;60;2025-05-28 11:00:00
50;18;A009;3;20;2025-05-28 11:00:00
51;19;A016;5;45;2025-06-11 14:00:00
52;19;B004;8;18;2025-06-11 14:00:00
53;20;A007;9;33;2025-06-25 10:00:00
54;20;A014;1;10;2025-06-25 10:00:00
55;21;A019;6;25;2025-07-16 14:00:00
56;21;B006;2;40;2025-07-16 14:00:00
57;21;A020;10;8;2025-07-16 14:00:00
58;22;A001;3;55;2025-07-30 09:00:00
59;22;B001;4;15;2025-07-30 09:00:00
60;23;A005;5;100;2025-08-13 14:00:00
61;23;A006;6;80;2025-08-13 14:00:00
62;23;B003;7;30;2025-08-13 14:00:00
63;24;A008;8;22;2025-08-27 11:00:00
64;24;A012;9;12;2025-08-27 11:00:00
65;25;A002;10;45;2025-09-10 14:00:00
66;25;B005;1;10;2025-09-10 14:00:00
67;25;A010;2;38;2025-09-10 14:00:00
68;26;A015;3;20;2025-09-24 10:00:00
69;26;A018;4;16;2025-09-24 10:00:00
70;27;A004;5;70;2025-10-09 14:00:00
71;27;B007;6;12;2025-10-09 14:00:00
72;28;A013;7;35;2025-10-22 11:00:00
73;28;A016;8;28;2025-10-22 11:00:00
74;29;A019;9;50;2025-11-11 14:00:00
75;29;B006;10;22;2025-11-11 14:00:00
76;29;A020;1;15;2025-11-11 14:00:00
77;30;A007;2;40;2025-11-26 10:00:00
78;30;A014;3;18;2025-11-26 10:00:00
79;31;A001;4;60;2025-12-10 14:00:00
80;31;A005;5;45;2025-12-10 14:00:00
81;31;B004;6;20;2025-12-10 14:00:00
82;32;A008;7;30;2025-12-24 11:00:00
83;32;A011;8;25;2025-12-24 11:00:00
84;33;A003;9;40;2026-01-15 14:00:00
85;33;B002;10;30;2026-01-15 14:00:00
86;33;A010;1;22;2026-01-15 14:00:00
87;34;A015;2;35;2026-01-28 10:00:00
88;34;A017;3;18;2026-01-28 10:00:00
89;35;A002;4;55;2026-02-11 14:00:00
90;35;B008;5;12;2026-02-11 14:00:00
91;35;A009;6;28;2026-02-11 14:00:00
92;36;A004;7;40;2026-02-25 11:00:00
93;36;A006;8;35;2026-02-25 11:00:00
94;37;A013;9;25;2026-03-12 14:00:00
95;37;B003;10;16;2026-03-12 14:00:00
96;37;A018;1;30;2026-03-12 14:00:00
97;38;A007;2;45;2026-03-26 10:00:00
98;38;A014;3;20;2026-03-26 10:00:00
99;39;A001;4;65;2026-04-09 14:00:00
100;39;B001;5;40;2026-04-09 14:00:00
101;40;A005;6;50;2026-04-18 11:00:00
102;40;B005;7;15;2026-04-18 11:00:00
103;40;A016;8;32;2026-04-18 11:00:00
