waybill_id;vehicle_id;dispatcher_id;driver_id;forwarder_id;delivery_day
1;V001;2;6;8;2026-01-20
2;V002;5;7;9;2026-01-22
3;V003;2;6;9;2026-01-23
4;V004;10;7;8;2026-01-25
5;V005;5;6;8;2026-01-28
6;V006;2;7;9;2026-02-11
7;V007;5;6;8;2026-02-25
8;V008;2;7;9;2026-03-12
9;V009;5;6;8;2026-03-26
10;V010;2;7;9;2026-04-09
11;V001;5;6;8;2026-04-15
12;V002;2;7;9;2026-04-15
13;V003;5;6;8;2026-04-15
14;V004;2;7;9;2026-04-15
15;V005;5;6;8;2026-04-15
16;V006;2;7;9;2026-04-15
17;V007;5;6;8;2026-04-15
18;V008;2;7;9;2026-04-15
19;V009;5;6;8;2026-04-15
