line_id;waybill_id;item_id;delivered
1;1;1;Y
2;1;2;Y
3;1;3;Y
4;1;26;Y
5;1;15;N
6;1;16;N
7;2;4;Y
8;2;5;Y
9;2;6;Y
10;2;29;Y
11;2;24;N
12;2;25;N
13;3;15;Y
14;3;16;Y
15;3;20;Y
16;3;30;N
17;3;11;N
18;3;12;N
19;4;7;Y
20;4;8;Y
21;4;9;Y
22;4;10;Y
23;4;11;N
24;4;12;N
25;5;13;Y
26;5;14;Y
27;5;17;Y
28;5;18;Y
29;5;19;Y
30;5;20;Y
31;5;21;Y
32;5;22;Y
33;5;23;Y
34;5;28;Y
35;5;27;N
36;5;5;N
37;6;31;Y
38;6;32;Y
39;6;33;Y
40;6;34;Y
41;7;35;Y
42;7;36;Y
43;7;37;Y
44;7;38;Y
45;8;39;Y
46;8;40;Y
47;8;41;Y
48;8;42;Y
49;9;43;Y
50;9;44;Y
51;9;45;Y
52;9;46;Y
53;10;47;Y
54;10;48;Y
55;10;49;Y
56;10;50;Y
57;11;51;Y
58;11;52;N
59;11;53;N
60;12;54;Y
61;12;55;N
62;12;56;N
63;13;57;Y
64;13;58;N
65;13;59;N
66;14;60;Y
67;14;61;N
68;14;62;N
69;15;63;Y
70;15;64;N
71;15;65;N
72;16;66;Y
73;16;67;N
74;16;68;N
75;17;69;Y
76;17;70;N
77;17;71;N
78;18;72;Y
79;18;73;N
80;18;74;N
81;19;75;Y
82;19;76;N
83;19;77;N
